j,n,m,coef
163.0,17.0,3.0,-0.0056598351716849
164.0,17.0,5.0,0.0047003925478258
165.0,17.0,7.0,-0.0009520884565658
166.0,17.0,9.0,5.92948262645675e-05
167.0,17.0,11.0,0.0001468637921131
168.0,17.0,13.0,-1.3707594501565988e-05
169.0,17.0,15.0,-1.8028553626183753e-05
170.0,17.0,17.0,1.2067991154054276e-06
180.0,18.0,0.0,2.0657924845280444
181.0,18.0,2.0,-1.6542150268313855
182.0,18.0,4.0,1.3058692577098403
183.0,18.0,6.0,-0.0547268234605428
184.0,18.0,8.0,-0.0666910992080161
185.0,18.0,10.0,0.0471695281906429
186.0,18.0,12.0,-0.0298304179487524
187.0,18.0,14.0,0.0119054095474629
188.0,18.0,16.0,-0.0020921877966119
189.0,18.0,18.0,-0.000247432545146
200.0,19.0,1.0,0.0259257246839508
201.0,19.0,3.0,-0.0140259478906611
202.0,19.0,5.0,0.0117925775336633
203.0,19.0,7.0,-0.0027009323098883
204.0,19.0,9.0,0.000229191173842
205.0,19.0,11.0,0.0003813053672509
206.0,19.0,13.0,-2.2004672443522253e-05
207.0,19.0,15.0,-8.22100970901715e-05
208.0,19.0,17.0,6.883199311029549e-06
209.0,19.0,19.0,2.0065877494453938e-07
220.0,20.0,0.0,4.454104150670492
221.0,20.0,2.0,-3.708287861072104
222.0,20.0,4.0,2.9364770341625133
223.0,20.0,6.0,-0.175284534463282
224.0,20.0,8.0,-0.1902678424593969
225.0,20.0,10.0,0.1549610156183283
226.0,20.0,12.0,-0.1087364697123737
227.0,20.0,14.0,0.0471914406193906
228.0,20.0,16.0,-0.0092807578571123
229.0,20.0,18.0,-0.0022482417154825
230.0,20.0,20.0,0.0003987486734106
242.0,21.0,1.0,0.057428858266948
243.0,21.0,3.0,-0.0325308424600578
244.0,21.0,5.0,0.0279312593797897
245.0,21.0,7.0,-0.0069287763226315
246.0,21.0,9.0,0.000650035969856
247.0,21.0,11.0,0.0008820840294287
248.0,21.0,13.0,2.7408216654859884e-05
249.0,21.0,15.0,-0.0003107258455398
250.0,21.0,17.0,2.2329881018264713e-05
251.0,21.0,19.0,1.8143597250335536e-06
252.0,21.0,21.0,-4.1108293536719874e-07
264.0,22.0,0.0,9.157946598514895
265.0,22.0,2.0,-7.760110659369293
266.0,22.0,4.0,6.158100504907726
267.0,22.0,6.0,-0.4131427291268902
268.0,22.0,8.0,-0.5503776412880702
269.0,22.0,10.0,0.4695696437892629
270.0,22.0,12.0,-0.3496367197870455
271.0,22.0,14.0,0.1564935021680798
272.0,22.0,16.0,-0.0288854722478187
273.0,22.0,18.0,-0.0141952373933179
274.0,22.0,20.0,0.0038685193351745
275.0,22.0,22.0,-3.6248373179406657e-05
288.0,23.0,1.0,0.1185765290182317
289.0,23.0,3.0,-0.0689574139417524
290.0,23.0,5.0,0.0612459661228223
291.0,23.0,7.0,-0.0158628069715587
292.0,23.0,9.0,0.0013668062128931
293.0,23.0,11.0,0.001796356645349
294.0,23.0,13.0,0.0003724551568362
295.0,23.0,15.0,-0.0010107356937024
296.0,23.0,17.0,3.342247604902135e-05
297.0,23.0,19.0,8.465644411326202e-06
298.0,23.0,21.0,2.117091337650815e-06
299.0,23.0,23.0,-3.619585245968719e-06
312.0,24.0,0.0,17.558631691944058
313.0,24.0,2.0,-14.70048847274213
314.0,24.0,4.0,11.713566183724938
315.0,24.0,6.0,-0.7049760561115692
316.0,24.0,8.0,-1.5434029456252225
317.0,24.0,10.0,1.2901157014450384
318.0,24.0,12.0,-0.9825632258077536
319.0,24.0,14.0,0.4320851727124859
320.0,24.0,16.0,-0.0553336110244271
321.0,24.0,18.0,-0.072353291554074
322.0,24.0,20.0,0.0230771958579452
323.0,24.0,22.0,-0.0004336620122985
324.0,24.0,24.0,-2.905072200186029e-05
338.0,25.0,1.0,0.2215516311491667
339.0,25.0,3.0,-0.1292125852959649
340.0,25.0,5.0,0.121489374081749
341.0,25.0,7.0,-0.0315517056582165
342.0,25.0,9.0,0.0016713597541674
343.0,25.0,11.0,0.0031249822187007
344.0,25.0,13.0,0.0017188059964606
345.0,25.0,15.0,-0.0028437189717613
346.0,25.0,17.0,-9.875591785502838e-05
347.0,25.0,19.0,9.727359285318683e-06
348.0,25.0,21.0,5.888966516682322e-05
349.0,25.0,23.0,-4.007055493675411e-05
350.0,25.0,25.0,3.6131234375257927e-06
364.0,26.0,0.0,30.540141322525
365.0,26.0,2.0,-24.142910113387348
366.0,26.0,4.0,19.4347700499666
367.0,26.0,6.0,-0.6390195946402044
368.0,26.0,8.0,-3.9938511302755626
369.0,26.0,10.0,3.1222707124766833
